Newspaper,Title,Category,Published Time,URL
tunisienumerique,Précipitations: Les régions les plus arrosées au cours des dernières 24 heures,https://www.tunisienumerique.com/tn-lemag,08:52:37,https://www.tunisienumerique.com/precipitations-les-regions-les-plus-arrosees-au-cours-des-dernieres-24-heures/
tunisienumerique,Tournoi international de Dubaï : sur quelle chaine et à quelle heure voir Tunisie,https://sport.tunisienumerique.com,10:18:49,https://sport.tunisienumerique.com/basket-tournoi-international-de-dubai-sur-quelle-chaine-et-a-quelle-heure-voir-tunisie-zamboanga/
tunisienumerique,Volleyball – Nationale A (SG) : programme TV des matches du mercredi 29 janvier,https://sport.tunisienumerique.com,09:20:10,https://sport.tunisienumerique.com/volleyball-nationale-a-sg-programme-tv-des-matches-du-mercredi-29-janvier/
tunisienumerique,CAN 2025 : calendrier complet du 1er tour,https://sport.tunisienumerique.com,08:47:34,https://sport.tunisienumerique.com/can-2025-calendrier-complet-du-1er-tour/
tunisienumerique,رئيس لجنة المالية يدعو إلى تأجيل العمل بالمنصة الجديدة للشيكات لمدة سنة [فيديو],https://ar.tunisienumerique.com,15:44:51,https://ar.tunisienumerique.com/%d8%a7%d9%82%d8%aa%d8%b5%d8%a7%d8%af-%d9%88%d8%a3%d8%b9%d9%85%d8%a7%d9%84/%d8%b1%d8%a6%d9%8a%d8%b3-%d9%84%d8%ac%d9%86%d8%a9-%d8%a7%d9%84%d9%85%d8%a7%d9%84%d9%8a%d8%a9-%d9%8a%d8%af%d8%b9%d9%88-%d8%a5%d9%84%d9%89-%d8%aa%d8%a3%d8%ac%d9%8a%d9%84-%d8%a7%d9%84%d8%b9%d9%85%d9%84/
tunisienumerique,كيف نتعامل مع الطفل الكتوم..إليك 7 طرق ناجعة (تقرير),https://ar.tunisienumerique.com,15:06:09,https://ar.tunisienumerique.com/%d9%85%d9%84%d9%81%d8%a7%d8%aa/%d9%83%d9%8a%d9%81-%d9%86%d8%aa%d8%b9%d8%a7%d9%85%d9%84-%d9%85%d8%b9-%d8%a7%d9%84%d8%b7%d9%81%d9%84-%d8%a7%d9%84%d9%83%d8%aa%d9%88%d9%85-%d8%a5%d9%84%d9%8a%d9%83-7-%d8%b7%d8%b1%d9%82-%d9%86%d8%a7/
tunisienumerique,جندوبة: الإذن بفتح بحث تحقيقي ضد مدير المركب الفلاحي ببدرونة,https://ar.tunisienumerique.com,13:55:40,https://ar.tunisienumerique.com/%d9%85%d8%ac%d8%aa%d9%85%d8%b9/%d8%ac%d9%86%d8%af%d9%88%d8%a8%d8%a9-%d8%a7%d9%84%d8%a5%d8%b0%d9%86-%d8%a8%d9%81%d8%aa%d8%ad-%d8%a8%d8%ad%d8%ab-%d8%aa%d8%ad%d9%82%d9%8a%d9%82%d9%8a-%d8%b6%d8%af-%d9%85%d8%af%d9%8a%d8%b1-%d8%a7%d9%84/
tunisienumerique,ترامب يمنع المتحولين جنسيا من الخدمة في الجيش ويقلص عمليات التحول لمن دون 19 سنة,https://ar.tunisienumerique.com,11:36:48,https://ar.tunisienumerique.com/%d8%b9%d8%a7%d9%84%d9%85%d9%8a%d8%a9/%d8%aa%d8%b1%d8%a7%d9%85%d8%a8-%d9%8a%d9%85%d9%86%d8%b9-%d8%a7%d9%84%d9%85%d8%aa%d8%ad%d9%88%d9%84%d9%8a%d9%86-%d8%ac%d9%86%d8%b3%d9%8a%d8%a7-%d9%85%d9%86-%d8%a7%d9%84%d8%ae%d8%af%d9%85%d8%a9-%d9%81/
tunisienumerique,الملعب التونسي يجدد عقود 4 لاعبين,https://ar.tunisienumerique.com,11:30:41,https://ar.tunisienumerique.com/%d8%b1%d9%8a%d8%a7%d8%b6%d8%a9/%d8%a7%d9%84%d9%85%d9%84%d8%b9%d8%a8-%d8%a7%d9%84%d8%aa%d9%88%d9%86%d8%b3%d9%8a-%d9%8a%d8%ac%d8%af%d8%af-%d8%b9%d9%82%d9%88%d8%af-4-%d9%84%d8%a7%d8%b9%d8%a8%d9%8a%d9%86/
tunisienumerique,الاقتصاد الألماني يعاني من أزمة عميقة وتراجع في النمو للعام الثالث على التوالي,https://ar.tunisienumerique.com,11:25:16,https://ar.tunisienumerique.com/%d8%b9%d8%a7%d9%84%d9%85%d9%8a%d8%a9/%d8%a7%d9%84%d8%a7%d9%82%d8%aa%d8%b5%d8%a7%d8%af-%d8%a7%d9%84%d8%a3%d9%84%d9%85%d8%a7%d9%86%d9%8a-%d9%8a%d8%b9%d8%a7%d9%86%d9%8a-%d9%85%d9%86-%d8%a3%d8%b2%d9%85%d8%a9-%d8%b9%d9%85%d9%8a%d9%82%d8%a9/
